NiShuoDeDui,7,2,9,1,2,0,0,3,4,1,1,0,1,3
NiShuoDeDui,0,0,5,0,0,1,4,7,0,1,2,0,0,1
NiShuoDeDui,3,1,1,0,0,0,0,0,2,2,2,0,0,0
NiShuoDeDui,1,2,3,0,0,2,2,0,0,1,1,0,1,1
NiShuoDeDui,11,2,10,2,9,1,2,1,2,1,2,0,1,2
NiShuoDeDui,8,1,3,0,0,0,0,0,2,1,1,0,1,1
NiShuoDeDui,6,4,8,0,1,0,0,2,2,0,0,0,3,0
NiShuoDeDui,9,0,0,0,1,0,0,0,0,0,0,0,0,0
Mars,9,3,5,0,0,0,0,0,3,0,1,0,1,4
Mars,4,5,12,1,3,1,6,0,6,2,2,0,5,2
Mars,24,2,5,0,0,0,0,1,1,1,2,0,3,0
Mars,28,2,3,0,0,0,0,0,0,0,2,0,1,2
Mars,0,0,3,0,3,0,0,0,0,0,0,0,2,2
PHD,10,2,4,1,3,0,0,0,5,7,0,0,4,4
PHD,23,4,4,0,0,1,2,2,4,0,2,0,0,0
PHD,24,0,2,0,1,3,8,0,2,0,2,0,1,1
PHD,0,1,3,0,0,0,0,0,0,0,0,0,0,0
PHD,21,3,8,3,8,0,0,1,0,0,0,0,3,3
PHD,11,0,2,0,0,3,6,2,3,1,0,0,1,3
ChiXinJueDui,5,3,11,0,0,4,6,0,0,2,0,0,4,0
ChiXinJueDui,4,2,2,0,0,0,0,0,2,1,0,0,1,1
ChiXinJueDui,2,2,6,0,3,0,0,0,3,0,0,1,0,3
ChiXinJueDui,10,2,6,0,0,1,3,3,0,0,1,0,2,0
ChiXinJueDui,25,0,2,0,0,0,0,0,1,0,1,0,1,5
ChiXinJueDui,3,0,1,0,0,0,0,2,2,0,2,0,2,0
Gyzers,0,0,1,0,0,1,2,0,0,0,1,0,1,0
Gyzers,27,1,4,1,2,1,1,0,3,1,1,0,0,0
Gyzers,1,3,4,0,1,0,0,1,1,1,0,0,0,0
Gyzers,3,3,5,0,0,0,0,0,1,1,4,0,0,0
Gyzers,8,3,4,0,0,0,2,1,4,1,0,0,0,0
Gyzers,17,3,10,1,4,2,6,0,3,2,4,0,2,0
Gyzers,9,1,3,0,1,0,0,1,2,1,0,0,0,1
Gyzers,11,2,2,0,0,0,0,1,2,0,0,0,0,0
Gyzers,29,3,3,0,0,1,2,2,3,2,0,1,0,0
Gyzers,18,0,1,0,0,1,2,0,0,0,2,0,0,1
Gyzers,33,2,7,0,3,1,1,0,1,0,3,0,1,0
Gyzers,12,1,3,0,1,0,0,3,2,1,1,0,0,0
Guts,10,1,10,1,9,0,0,0,2,1,0,0,2,3
Guts,8,0,2,0,0,0,0,3,1,0,1,0,2,0
Guts,6,2,5,0,0,0,1,2,8,1,1,1,2,2
Guts,1,2,4,2,4,0,1,0,0,0,1,0,1,0
Guts,0,2,4,2,3,0,0,0,0,1,0,0,5,5
Guts,2,1,7,0,4,0,0,0,1,1,0,0,2,4
Big Totoros,13,0,1,0,0,0,0,0,4,0,2,0,0,0
Big Torotos,6,5,16,2,7,2,4,0,4,1,2,1,0,4
Big Torotos,22,1,5,0,3,0,0,0,0,0,0,0,0,0
Big Torotos,2,0,2,0,0,2,2,1,3,0,1,0,1,4
Big Torotos,9,2,3,0,0,0,1,0,1,0,0,0,0,0
Big Torotos,1,0,5,0,2,0,0,0,2,0,1,0,1,0
Big Torotos,10,0,2,0,1,0,0,0,1,0,0,0,0,0
SPLASH,11,1,6,0,2,1,1,1,5,0,0,0,1,0
SPLASH,0,1,5,0,0,3,4,2,1,1,0,0,0,0
SPLASH,78,0,0,0,0,1,2,1,0,0,0,1,0,1
SPLASH,3,4,6,2,2,2,4,0,5,0,0,0,2,1
SPLASH,20,1,4,0,1,0,0,0,0,0,1,0,1,0
SPLASH,1,0,3,0,0,0,2,2,1,0,0,0,0,2
SPLASH,21,0,2,0,1,1,2,0,1,0,0,0,1,1
SPLASH,30,0,1,0,0,0,0,0,0,1,0,1,0,0
SPLASH,12,0,0,0,0,0,0,0,0,0,0,0,1,0
SPA,1,0,4,0,0,4,8,2,2,3,2,0,0,1
SPA,3,3,8,1,4,0,0,0,2,0,3,0,2,1
SPA,7,3,7,0,1,0,0,0,7,0,0,0,1,2
SPA,15,1,3,0,0,0,0,3,1,1,1,0,2,2
SPA,99,1,10,0,1,3,4,1,3,0,1,0,1,0
SPA,27,0,2,0,1,0,0,1,0,0,1,0,0,1
SPA,34,0,1,0,0,0,0,0,1,1,1,0,0,1
Why Not,0,2,7,1,4,0,0,1,1,0,0,0,3,3
Why Not,7,5,11,0,0,2,2,0,0,0,0,0,2,3
Why Not,1,1,4,0,0,1,1,0,3,1,0,0,0,0
Why Not,8,0,4,0,1,0,2,3,10,0,0,0,3,0
Why Not,9,0,6,0,1,0,0,3,4,1,0,0,3,0
Why Not,5,0,2,0,1,0,0,0,2,2,1,0,0,3
Why Not,6,0,0,0,0,0,0,0,0,0,0,0,1,0
Redeemers 2.0,9,0,0,0,0,0,0,0,0,0,1,0,0,0
Redeemers 2.0,13,0,7,0,1,1,4,0,1,2,1,0,0,1
Redeemers 2.0,3,1,1,0,0,0,0,4,1,0,0,0,0,2
Redeemers 2.0,4,4,8,2,3,0,0,0,2,0,3,0,4,0
Redeemers 2.0,23,0,2,0,0,1,2,1,0,0,2,0,0,1
Redeemers 2.0,38,1,6,0,3,0,0,1,1,0,1,0,2,1
Redeemers 2.0,7,0,1,0,0,1,2,0,0,1,1,0,0,1
Redeemers 2.0,11,0,0,0,0,2,2,0,1,0,0,0,0,0
Redeemers 2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
Redeemers 2.0,21,1,2,0,0,0,0,0,1,0,1,0,0,0
Redeemers 2.0,30,1,5,1,3,2,2,1,0,0,3,0,0,0
Redeemers 2.0,14,1,1,0,0,0,0,0,1,0,0,0,0,1
Redeemers 2.0,8,2,3,0,0,1,2,0,0,0,1,0,0,1
Blackjack,8,2,7,1,5,0,0,1,0,0,0,0,0,0
Blackjack,1,4,4,4,4,1,2,0,0,0,0,0,1,0
Blackjack,7,2,6,0,0,2,6,1,3,1,2,0,0,0
Blackjack,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackjack,0,0,4,0,4,0,0,0,0,1,0,0,0,0
Blackjack,2,1,2,0,0,0,0,1,2,2,1,0,0,0
Blackjack,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Blackjack,6,2,9,1,7,0,0,1,3,4,0,0,1,0
Blackjack,10,1,2,0,0,0,0,0,4,0,0,0,1,2
WSND,32,3,12,1,5,0,0,3,4,1,1,0,4,3
WSND,7,2,6,2,3,0,0,1,3,2,4,1,1,0
WSND,3,5,11,0,1,1,2,6,3,1,1,0,1,0
WSND,1,1,4,0,0,0,0,2,1,2,1,0,1,2
WSND,10,3,9,1,3,0,0,0,5,1,1,1,4,1
WSND,6,0,0,0,0,0,0,0,0,1,0,0,0,0
WSND,22,0,1,0,1,0,0,0,0,0,0,0,0,0
Eastern Knights,1,2,6,0,1,1,2,0,1,1,1,1,14,1
Eastern Knights,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern Knights,4,0,0,0,0,0,0,0,4,1,0,0,0,4
Eastern Knights,5,0,1,0,1,0,0,0,1,0,1,0,1,1
Eastern Knights,6,0,0,0,0,0,0,0,0,0,1,0,0,0
Eastern Knights,7,0,0,0,0,0,0,0,0,1,0,0,0,0
Eastern Knights,8,1,2,0,1,0,0,0,0,0,0,0,0,0
Eastern Knights,9,2,4,2,4,0,0,0,5,0,0,0,4,0
Eastern Knights,10,0,2,0,0,0,0,1,0,0,0,0,1,1
Eastern Knights,0,0,1,0,0,0,0,1,0,0,0,0,3,1
Eastern Knights,11,1,1,0,0,2,2,0,4,0,1,0,3,5
GGDaDaDer,1,0,5,0,3,0,0,0,4,4,4,0,4,2
GGDaDaDer,4,4,7,0,0,3,5,0,5,1,2,0,4,3
GGDaDaDer,10,1,6,1,5,1,2,1,2,1,1,0,4,0
GGDaDaDer,3,2,4,0,0,0,0,0,3,3,1,0,3,0
GGDaDaDer,15,4,9,0,1,0,0,2,2,0,1,0,1,2
Dog,1,2,6,0,1,0,0,0,1,0,1,1,0,0
Dog,14,5,12,2,7,0,0,2,1,0,0,0,2,0
Dog,11,1,4,0,2,0,0,1,0,1,0,0,1,2
Dog,20,0,4,0,3,0,0,0,1,0,0,0,1,0
Dog,8,1,5,0,1,2,4,1,1,0,0,0,1,0
Dog,19,1,1,0,1,0,0,0,0,0,0,0,0,0
Dog,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Dog,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Dog,34,0,0,0,0,0,0,0,0,0,0,0,0,0
